// input: .\VOICE_TEST\VO_02_001000_0150_jp.wav,,,,,,,,,,
// framerate: 60 [fps],,,,,,,,,,
// frame count, msec, width(0-1 def=0.583), height(0-1 def=0.000), tongue(0-1 def=0.000), A(0-1), I(0-1), U(0-1), E(0-1), O(0-1), Vol(dB)
99,1650,0.605189,0.3,0.968363,0.273228,0,0.074542,0,0,-13.476892
100,1666,0.605189,0.3,0.986634,0.186803,0,0.068271,0,0,-12.612804
101,1683,0.627504,0.34991,0.986634,0.234379,0,0.111636,0,0,-12.708582
102,1700,0.617715,0.375397,0.986634,0.258135,0,0.11187,0,0,-13.031968
103,1716,0.612112,0.420372,0.986634,0.393723,0,0.111871,0,0,-15.098984
104,1733,0.607056,0.3,0.991312,0.448226,0,0.223762,0,0,-16.924379
105,1750,0.607056,0.3,0.994353,0.519051,0,0.111881,0,0,-18.956486
106,1766,0.607056,0.3,0.997614,0.598923,0,0.04361,0,0,-24.875391
107,1783,0.585778,0.312324,0.998449,0.670187,0,0,0,0.016368,-34.496239
108,1800,0.585679,0.346457,0.998449,0.626432,0,0,0,0.032736,-41.00552
109,1816,0.585679,0.346457,0.998449,0.450844,0,0,0,0.032736,-52.618946
110,1833,0.585679,0.346457,0.998449,0.35634,0,0,0,0.032736,-63.225838
111,1850,0.585679,0.346457,0.998449,0.265515,0,0,0,0.032736,-67.106796
112,1866,0.585679,0.346457,0.998449,0.15884,0,0,0,0.032736,-76.995621
113,1883,0.585679,0.346457,0.665633,0,0,0,0,0,-82.290985
114,1900,0.585679,0.346457,0.443755,0,0,0,0,0,-86.947487
115,1916,0.58517,0.28063,0.197224,0,0,0,0,0,-89.173233
116,1933,0.584758,0.22731,0.087655,0,0,0,0,0,-96
117,1950,0.584582,0.204579,0.058437,0,0,0,0,0,-96
118,1966,0.584281,0.165709,0.025972,0,0,0,0,0,-96
119,1983,0.584038,0.134224,0.011543,0,0,0,0,0,-96
120,2000,0.583934,0.120802,0.007695,0,0,0,0,0,-96
121,2016,0.583757,0.09785,0.00342,0,0,0,0,0,-96
122,2033,0.583613,0.079258,0.00152,0,0,0,0,0,-96
123,2050,0.583552,0.071332,0.001013,0,0,0,0,0,-96
124,2066,0.583447,0.057779,0.00045,0,0,0,0,0,-96
125,2083,0.583362,0.046801,0.0002,0,0,0,0,0,-96
126,2100,0.583326,0.042121,0.000133,0,0,0,0,0,-96
127,2116,0.583264,0.034118,0.000059,0,0,0,0,0,-96
128,2133,0.583214,0.027636,0.000026,0,0,0,0,0,-96
129,2150,0.583192,0.024872,0.000018,0,0,0,0,0,-96
130,2166,0.583156,0.020146,0.000008,0,0,0,0,0,-96
131,2183,0.583126,0.016319,0.000003,0,0,0,0,0,-96
132,2200,0.583114,0.014687,0.000002,0,0,0,0,0,-96
133,2216,0.583092,0.011896,0.000001,0,0,0,0,0,-96
134,2233,0.583075,0.009636,0,0,0,0,0,0,-96
135,2250,0.583067,0.008672,0,0,0,0,0,0,-96
136,2266,0.583054,0.007025,0,0,0,0,0,0,-96
137,2283,0.583044,0.00569,0,0,0,0,0,0,-96
138,2300,0.58304,0.005121,0,0,0,0,0,0,-96
139,2316,0.583032,0.004148,0,0,0,0,0,0,-96
140,2333,0.583026,0.00336,0,0,0,0,0,0,-96
141,2350,0.583023,0.003024,0,0,0,0,0,0,-96
142,2366,0.583019,0.002449,0,0,0,0,0,0,-96
143,2383,0.583015,0.001984,0,0,0,0,0,0,-96
144,2400,0.583014,0.001786,0,0,0,0,0,0,-96
145,2416,0.583011,0.001446,0,0,0,0,0,0,-96
146,2433,0.583009,0.001172,0,0,0,0,0,0,-96
147,2450,0.583008,0.001054,0,0,0,0,0,0,-96
148,2466,0.583007,0.000854,0,0,0,0,0,0,-96
149,2483,0.583005,0.000692,0,0,0,0,0,0,-96
150,2500,0.583005,0.000623,0,0,0,0,0,0,-96
151,2516,0.583004,0.000504,0,0,0,0,0,0,-96
152,2533,0.583003,0.000408,0,0,0,0,0,0,-81.049377
153,2550,0.583003,0.000368,0,0,0,0,0,0,-72.195671
154,2566,0.583002,0.000298,0,0,0,0,0,0,-61.712357
155,2583,0.583002,0.020241,0.35,0.02,0.02,0,0,0,-31.084305
156,2600,0.583002,0.038217,0.5775,0.01,0.119802,0,0,0,-27.024336
157,2616,0.608155,0.069655,0.725375,0,0.293283,0,0.012548,0,-23.558289
158,2633,0.608155,0.069655,0.883971,0.06,0.333283,0,0,0,-16.15547
159,2650,0.608155,0.069655,0.924581,0.08,0.353283,0,0,0,-12.664837
160,2666,0.608155,0.069655,0.968136,0.040004,0.50699,0,0,0,-10.915615
161,2683,0.649886,0.098425,0.968136,0,0.5493,0,0.057163,0,-14.782433
162,2700,0.671801,0.124379,0.968136,0,0.468812,0,0.092476,0,-14.025611
163,2716,0.702736,0.188421,0.968136,0,0.492247,0,0.080217,0,-13.140991
164,2733,0.726918,0.233274,0.968136,0,0.557543,0,0.127367,0,-22.395781
165,2750,0.726918,0.233274,0.979288,0,0.557543,0,0.254734,0,-31.698111
166,2766,0.726918,0.233274,0.991249,0,0.403837,0,0.254734,0,-49.919327
167,2783,0.726918,0.233274,0.991249,0,0.379701,0,0.111926,0,-39.013714
168,2800,0.725959,0.116637,0.991249,0,0.360387,0,0.153224,0,-32.354168
169,2816,0.725305,0.029159,0.991249,0,0.183471,0,0.152646,0,-26.845558
170,2833,0.724239,0.01458,0.994312,0,0.118175,0,0.058346,0,-26.3894
171,2850,0.724239,0.01458,0.996303,0,0.118175,0,0.058346,0,-26.477917
172,2866,0.724239,0.01458,0.998438,0,0.158175,0,0.058346,0,-28.805489
173,2883,0.724239,0.01458,0.99934,0.02,0.16,0,0,0,-34.246029
174,2900,0.724239,0.01458,0.999571,0.04,0.18,0,0,0,-36.486675
175,2916,0.724239,0.01458,0.999819,0.08,0.2,0,0,0,-39.856655
176,2933,0.710115,0.033122,0.999923,0.08,0.16,0,0,0,-46.257214
177,2950,0.697403,0.029809,0.999923,0.08,0.14,0,0,0,-49.687286
178,2966,0.675667,0.024146,0.999923,0.08,0.1,0,0,0,-61.622204
179,2983,0.65806,0.019558,0.999923,0.06,0.06,0,0,0,-73.063927
180,3000,0.650554,0.017602,0.999923,0.04,0.04,0,0,0,-82.706947
181,3016,0.637719,0.014258,0.999923,0,0,0,0,0,-92.793571
182,3033,0.627322,0.011549,0.999923,0,0,0,0,0,-96
183,3050,0.62289,0.010394,0.666616,0,0,0,0,0,-96
184,3066,0.615311,0.008419,0.296274,0,0,0,0,0,-96
185,3083,0.609172,0.006819,0.131677,0,0,0,0,0,-96
186,3100,0.606555,0.006138,0.087785,0,0,0,0,0,-96
187,3116,0.602079,0.004971,0.039015,0,0,0,0,0,-96
188,3133,0.598454,0.004027,0.01734,0,0,0,0,0,-96
189,3150,0.596909,0.003624,0.01156,0,0,0,0,0,-96
190,3166,0.594266,0.002936,0.005138,0,0,0,0,0,-93.838028
191,3183,0.592126,0.002378,0.002283,0,0,0,0,0,-46.868683
192,3200,0.591213,0.00214,0.001522,0.02,0.02,0,0,0,-39.953346
193,3216,0.589653,0.039733,0.000677,0.06,0.06,0,0,0,-32.139793
194,3233,0.588389,0.070184,0.000301,0.1,0.1,0,0,0,-24.589691
195,3250,0.58785,0.083166,0.0002,0.12,0.12,0,0,0,-19.638044
196,3266,0.580779,0.141896,0.000089,0.192011,0.060001,0,0,0,-13.936646
197,3283,0.566594,0.212867,0.00004,0.30878,0.060001,0,0,0,-11.775869
198,3300,0.563387,0.243037,0.000026,0.384864,0.050001,0,0,0,-11.822784
199,3316,0.565978,0.281917,0.000012,0.544295,0.030001,0,0,0,-14.193578
200,3333,0.586549,0.329392,0.000005,0.672563,0.010002,0,0,0,-15.239514
201,3350,0.603534,0.342104,0.000003,0.676563,0,0.020472,0,0,-15.119539
202,3366,0.603534,0.3,0.577501,0.624552,0.049947,0,0,0,-13.430214
203,3383,0.625557,0.301362,0.725376,0.507783,0.14988,0,0,0,-13.76176
204,3400,0.636731,0.300418,0.725376,0.4117,0.199879,0,0,0,-14.232035
205,3416,0.670314,0.302815,0.725376,0.106134,0.599759,0,0,0,-15.295111
206,3433,0.68786,0.3,0.821494,0.064,0.719755,0,0,0,-16.352156
207,3450,0.68786,0.3,0.883971,0.06,0.739755,0,0,0,-16.636808
208,3466,0.68786,0.3,0.950978,0,0.639863,0.099874,0,0,-15.779366
209,3483,0.695978,0.3,0.968136,0,0.459998,0.299722,0,0,-16.524178
210,3500,0.695978,0.3,0.979288,0,0.38,0.299722,0,0,-18.431732
211,3516,0.695978,0.3,0.991249,0,0.09,0.499705,0,0,-14.361229
212,3533,0.695978,0.3,0.996303,0,0.040217,0.535304,0,0,-10.026836
